      Step     Time          Energy          fmax
BFGS:    0 18:06:03      -41.803066        2.896558
BFGS:    1 18:06:03      -42.917708        3.232439
BFGS:    2 18:06:03      -50.286965        5.097885
BFGS:    3 18:06:03      -60.022934        5.168668
BFGS:    4 18:06:03      -61.340960        7.778112
BFGS:    5 18:06:03      -63.010363        2.567732
BFGS:    6 18:06:03      -63.482867        0.872309
BFGS:    7 18:06:03      -63.527293        0.214723
BFGS:    8 18:06:03      -63.529644        0.071242
BFGS:    9 18:06:03      -63.529724        0.071408
BFGS:   10 18:06:03      -63.530659        0.075831
BFGS:   11 18:06:03      -63.532113        0.153824
BFGS:   12 18:06:03      -63.542307        0.405814
BFGS:   13 18:06:03      -63.582550        0.373989
BFGS:   14 18:06:03      -63.658817        0.469584
BFGS:   15 18:06:04      -63.794901        0.889003
BFGS:   16 18:06:04      -64.034082        1.542556
BFGS:   17 18:06:04      -64.453839        2.732832
BFGS:   18 18:06:04      -65.204543        4.778687
BFGS:   19 18:06:04      -66.429649        6.597403
BFGS:   20 18:06:04      -67.138164        4.887244
BFGS:   21 18:06:04      -67.313500        4.122165
BFGS:   22 18:06:04      -67.509048        2.450083
BFGS:   23 18:06:04      -67.600786        0.406425
BFGS:   24 18:06:04      -67.606730        0.245153
BFGS:   25 18:06:04      -67.607656        0.160139
BFGS:   26 18:06:04      -67.608013        0.036251
