      Step     Time          Energy          fmax
BFGS:    0 19:00:20        4.665763        0.395335
BFGS:    1 19:00:20        4.629457        0.372963
BFGS:    2 19:00:20        4.455945        0.253329
BFGS:    3 19:00:20        4.446243        0.167329
BFGS:    4 19:00:20        4.438336        0.142028
BFGS:    5 19:00:20        4.368719        0.198504
BFGS:    6 19:00:20        4.318164        0.214951
BFGS:    7 19:00:20        4.285312        0.161238
BFGS:    8 19:00:20        4.273952        0.146786
BFGS:    9 19:00:20        4.267990        0.138141
BFGS:   10 19:00:20        4.259843        0.098073
BFGS:   11 19:00:20        4.252921        0.047791
      Step     Time          Energy          fmax
BFGS:    0 17:26:45        4.665763        0.395335
BFGS:    1 17:26:45        4.629457        0.372963
BFGS:    2 17:26:45        4.455945        0.253329
BFGS:    3 17:26:46        4.446243        0.167329
BFGS:    4 17:26:46        4.438336        0.142028
BFGS:    5 17:26:46        4.368719        0.198504
BFGS:    6 17:26:46        4.318164        0.214951
BFGS:    7 17:26:46        4.285312        0.161238
BFGS:    8 17:26:46        4.273952        0.146786
BFGS:    9 17:26:46        4.267990        0.138141
BFGS:   10 17:26:46        4.259843        0.098073
BFGS:   11 17:26:46        4.252921        0.047791
      Step     Time          Energy          fmax
BFGS:    0 17:29:13       -9.677335        0.467246
BFGS:    1 17:29:13       -9.704907        0.443208
BFGS:    2 17:29:13       -9.997252        0.340326
BFGS:    3 17:29:13      -10.061113        0.414698
BFGS:    4 17:29:13      -10.129997        0.451319
BFGS:    5 17:29:13      -10.199901        0.431513
BFGS:    6 17:29:13      -10.284482        0.359542
BFGS:    7 17:29:13      -10.372612        0.262050
BFGS:    8 17:29:13      -10.475757        0.301015
BFGS:    9 17:29:13      -10.582138        0.334764
BFGS:   10 17:29:13      -10.622558        0.325571
BFGS:   11 17:29:13      -10.641998        0.302335
BFGS:   12 17:29:13      -10.759222        0.098831
BFGS:   13 17:29:13      -10.784724        0.023089
      Step     Time          Energy          fmax
BFGS:    0 17:29:14        0.000000        0.000000
      Step     Time          Energy          fmax
BFGS:    0 17:29:14       -9.943237        0.481455
